,Pos_Change_Signal,acf_value,acf_pval,df_pval,Y_5,Y_10,Y_20
2018-02-08 06:46:00,1,-0.157838301,0.572362937,0.000460991,-0.001685953,-0.002008675,-0.290943301
2018-02-08 06:47:00,1,-0.160210072,0.58035149,7.46918E-06,-0.000559923,-0.001221508,0.076498317
2018-02-08 07:55:00,1,-0.105247636,0.513312258,1.92815E-06,-0.002063249,-0.010352247,0.278616367
2018-02-08 07:56:00,1,-0.082646363,0.637877668,1.20918E-06,-0.001592533,-0.008639192,0.42609539
2018-02-08 07:57:00,1,-0.108317575,0.745082812,7.13495E-06,-0.003407288,-0.0087817,0.671906345
2018-02-08 07:59:00,1,-0.09721825,0.717636325,7.25123E-06,-0.004692207,-0.008833446,-0.070541805
2018-02-08 08:00:00,1,-0.083548931,0.820482103,2.87265E-06,-0.008306136,-0.008183164,0.083497636
2018-02-08 08:01:00,1,0.00379542,0.93285249,1.18286E-05,-0.007057899,-0.007471659,0.140537348
2018-02-08 08:45:00,-1,-0.156707616,0.823275095,5.49755E-06,-0.000900016,0.001845918,0.526671165
2018-02-08 08:46:00,-1,-0.109540819,0.914311052,1.20957E-05,-0.002686451,-0.000533631,-0.020558513
2018-02-08 08:49:00,-1,-0.174797751,0.685246355,4.09902E-06,0.001688361,-0.001280826,0.202382703
2018-02-08 08:52:00,-1,-0.286143069,0.258707855,1.89916E-05,0.004163688,-0.006982045,0.636014575
2018-02-08 08:53:00,-1,-0.313864345,0.195867973,7.46171E-08,0.000284686,-0.004544811,0.531229424
2018-02-08 08:54:00,-1,-0.329240692,0.122872267,3.44316E-09,-0.002964182,-0.00857135,0.130610609
2018-02-08 09:02:00,-1,-0.104397864,0.928902984,1.47694E-05,0.003714751,0.004094112,0.071194975
2018-02-08 09:04:00,-1,-0.209803561,0.647926128,4.48887E-06,0.005337842,0.00477308,0.24158827
2018-02-08 09:05:00,-1,-0.193004607,0.545585064,3.07534E-07,0.003692245,0.004922993,0.031484332
2018-02-08 09:06:00,-1,-0.175663839,0.562220893,1.5307E-07,0.001728904,0.005177467,0.580360142
2018-02-08 09:08:00,-1,-0.196613389,0.653595024,3.0583E-06,0.004659083,0.002919241,-0.151326284
2018-02-08 09:11:00,-1,-0.116722461,0.789747687,1.85035E-07,0.003442611,0.000433787,0.025091988
2018-02-08 09:12:00,-1,-0.135314581,0.817141778,5.86948E-07,0.001554766,-0.002396674,0.130738575
2018-02-08 09:14:00,-1,-0.133621502,0.824869244,2.55163E-06,0.00037169,-0.00173488,0.14725116
2018-02-08 09:15:00,-1,-0.141576088,0.734177321,5.65567E-07,-0.001028273,-0.001494833,-0.060741768
2018-02-08 09:18:00,-1,-0.120803763,0.794118126,1.53772E-07,-0.002674322,-0.00061101,1.101384752
2018-02-08 09:22:00,-1,0.006752698,0.932544629,4.02574E-07,0.001056454,0.001367415,0.711270794
2018-02-08 09:23:00,-1,0.035576382,0.851185745,1.08599E-06,0.002068844,0.003734387,0.472820248
2018-02-08 09:24:00,-1,0.009754604,0.832775526,5.18974E-07,0.001901176,0.005429383,0.554064654
2018-02-08 09:25:00,-1,0.016060859,0.753400518,4.01811E-09,0.000624036,0.004983062,0.470633442
2018-02-08 09:27:00,-1,-0.03242328,0.434627981,1.02745E-06,0.000310633,0.006904318,0.256561256
2018-02-08 10:03:00,-1,0.01380153,0.954536633,4.51697E-05,-0.001842259,-0.004471148,0.271196779
2018-02-08 10:06:00,-1,0.029204425,0.990370778,2.7327E-05,-0.003305901,-0.002976227,0.051294888
2018-02-08 10:12:00,-1,0.128347812,0.630287565,1.14237E-06,0.000236012,0.002963939,0.626948246
2018-02-08 10:13:00,-1,-0.052546171,0.115611093,2.47909E-07,0.001715613,0.001816711,0.29528758
2018-02-08 10:14:00,-1,0.026235517,0.258495274,2.31537E-10,0.003872067,0.001874952,0.652928207
2018-02-08 10:15:00,-1,-0.225457428,0.341376986,3.51895E-06,0.003571814,3.0632E-06,0.807288187
2018-02-08 10:17:00,-1,0.055906331,0.518542466,6.01356E-10,0.002727284,-0.00021757,0.55424537
2018-02-08 10:18:00,-1,0.036202443,0.916966562,2.95208E-08,0.000100925,-0.002318227,0.549970334
