,Pos_Change_Signal,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2018-02-08 06:46:00,1,-0.157838301,-0.175561512,-0.837028052,-0.001685953,-0.002008675,-0.005679508,-0.001333098
2018-02-08 06:47:00,1,-0.160210072,-0.075566776,-0.774991638,-0.000559923,-0.001221508,-0.004565359,0.001326045
2018-02-08 07:55:00,1,-0.105247636,-0.451809093,-1.323809179,-0.002063249,-0.010352247,-0.009099227,-0.018081836
2018-02-08 07:56:00,1,-0.082646363,-0.571594109,-1.134269346,-0.001592533,-0.008639192,-0.010593937,-0.018834996
2018-02-08 07:57:00,1,-0.108317575,-0.65909493,-0.98368941,-0.003407288,-0.0087817,-0.013317764,-0.018647265
2018-02-08 07:59:00,1,-0.09721825,-0.953809392,-0.210534792,-0.004692207,-0.008833446,-0.015121662,-0.024026973
2018-02-08 08:00:00,1,-0.083548931,-1.104546167,0.364195052,-0.008306136,-0.008183164,-0.011760863,-0.024558481
2018-02-08 08:01:00,1,0.00379542,-1.22714826,1.05633297,-0.007057899,-0.007471659,-0.012928489,-0.028186744
2018-02-08 08:45:00,-1,-0.156707616,-0.273067265,-0.825510155,-0.000900016,0.001845918,-0.010919055,0.003017464
2018-02-08 08:46:00,-1,-0.109540819,-0.252644655,-0.849831798,-0.002686451,-0.000533631,-0.010547597,0.006299894
2018-02-08 08:49:00,-1,-0.174797751,-0.758103831,0.18475273,0.001688361,-0.001280826,-0.001596436,0.010406065
2018-02-08 08:52:00,-1,-0.286143069,-0.555751025,-0.733954357,0.004163688,-0.006982045,-0.002916518,0.012150625
2018-02-08 08:53:00,-2,-0.313864345,-0.487481196,-0.971765545,0.000284686,-0.004544811,-0.000857488,0.012151837
2018-02-08 08:54:00,-2,-0.329240692,-0.407633115,-1.188864566,-0.002964182,-0.00857135,-0.003839182,0.009115854
2018-02-08 09:02:00,-1,-0.104397864,-0.394813959,-0.253707857,0.003714751,0.004094112,0.001687626,0.011733164
2018-02-08 09:04:00,-1,-0.209803561,-0.28065408,-0.48773048,0.005337842,0.00477308,0.00302992,0.011687715
2018-02-08 09:05:00,-1,-0.193004607,-0.244333026,-0.577543878,0.003692245,0.004922993,0.003420802,0.011391363
2018-02-08 09:06:00,-1,-0.175663839,-0.23322013,-0.718497082,0.001728904,0.005177467,0.003014025,0.009593723
2018-02-08 09:08:00,-1,-0.196613389,-0.22869192,-1.061446646,0.004659083,0.002919241,0.002306446,0.007802994
2018-02-08 09:11:00,-1,-0.116722461,-0.062707018,-1.209867929,0.003442611,0.000433787,0.000310727,0.004519388
2018-02-08 09:12:00,-1,-0.135314581,-0.029163547,-1.244880535,0.001554766,-0.002396674,-0.001032536,0.002470418
2018-02-08 09:14:00,-1,-0.133621502,0.063211485,-1.084526508,0.00037169,-0.00173488,0.003685084,0.002465853
2018-02-08 09:15:00,-1,-0.141576088,0.049994603,-1.082430817,-0.001028273,-0.001494833,0.003480781,0.002047215
2018-02-08 09:18:00,-1,-0.120803763,0.198373943,-0.558501868,-0.002674322,-0.00061101,0.004332463,0.003942399
2018-02-08 09:22:00,-1,0.006752698,0.537779436,0.112594794,0.001056454,0.001367415,0.009566484,0.007857185
2018-02-08 09:23:00,-1,0.035576382,0.685321957,0.4285939,0.002068844,0.003734387,0.011668037,0.006736059
2018-02-08 09:24:00,-1,0.009754604,0.800324319,0.611745254,0.001901176,0.005429383,0.013710345,0.006090875
2018-02-08 09:25:00,-1,0.016060859,0.921650048,0.915838038,0.000624036,0.004983062,0.010633196,0.003550424
2018-02-08 09:27:00,-1,-0.03242328,0.882734964,1.477975005,0.000310633,0.006904318,0.017097725,0.003836758
2018-02-08 10:03:00,-1,0.01380153,-0.279571668,-0.975983713,-0.001842259,-0.004471148,-0.002662559,-0.018247652
2018-02-08 10:06:00,-1,0.029204425,-0.114851326,-1.038000598,-0.003305901,-0.002976227,-0.003901147,-0.016242689
2018-02-08 10:12:00,-1,0.128347812,-0.122228994,-0.906972501,0.000236012,0.002963939,-0.004278984,-0.009360776
2018-02-08 10:13:00,-1,-0.052546171,-0.053712028,-1.02459488,0.001715613,0.001816711,-0.007760084,-0.011755011
2018-02-08 10:14:00,-1,0.026235517,-0.082168982,-1.100863581,0.003872067,0.001874952,-0.009039643,-0.013156524
2018-02-08 10:15:00,-1,-0.225457428,-0.03415517,-1.224800694,0.003571814,3.0632E-06,-0.008907664,-0.019313478
2018-02-08 10:17:00,-1,0.055906331,0.147000469,-1.320381433,0.002727284,-0.00021757,-0.008831619,-0.021922459
2018-02-08 10:18:00,-1,0.036202443,0.277154366,-1.224894194,0.000100925,-0.002318227,-0.011991901,-0.026629029
2018-02-08 10:20:00,-1,0.135472875,0.453107127,-0.880612342,-0.003556049,-0.007603275,-0.013512524,-0.027525746
2018-02-08 10:23:00,-1,0.189765387,0.820740303,0.198715563,-0.002418908,-0.009559428,-0.009535086,-0.028002581
2018-02-08 10:34:00,-1,0.100793506,-1.075008421,0.894322751,-0.000571747,-0.000166677,-0.006602659,-0.009338363
2018-02-08 10:35:00,-1,0.105979635,-1.048118038,0.518669411,-0.001091028,-0.000284347,-0.007658956,-0.00764956
