,acf_value,skew,kurtosis,Y_5,Y_10,Y_20,Y_60
2/8/18 8:45,-0.156707616,-0.273067265,-0.825510155,-0.000900016,0.001845918,-0.010919055,0.003017464
2/8/18 8:46,-0.109540819,-0.252644655,-0.849831798,-0.002686451,-0.000533631,-0.010547597,0.006299894
2/8/18 8:49,-0.174797751,-0.758103831,0.18475273,0.001688361,-0.001280826,-0.001596436,0.010406065
2/8/18 8:52,-0.286143069,-0.555751025,-0.733954357,0.004163688,-0.006982045,-0.002916518,0.012150625
2/8/18 8:53,-0.313864345,-0.487481196,-0.971765545,0.000284686,-0.004544811,-0.000857488,0.012151837
2/8/18 8:54,-0.329240692,-0.407633115,-1.188864566,-0.002964182,-0.00857135,-0.003839182,0.009115854
2/8/18 9:02,-0.104397864,-0.394813959,-0.253707857,0.003714751,0.004094112,0.001687626,0.011733164
2/8/18 9:04,-0.209803561,-0.28065408,-0.48773048,0.005337842,0.00477308,0.00302992,0.011687715
2/8/18 9:05,-0.193004607,-0.244333026,-0.577543878,0.003692245,0.004922993,0.003420802,0.011391363
2/8/18 9:06,-0.175663839,-0.23322013,-0.718497082,0.001728904,0.005177467,0.003014025,0.009593723
2/8/18 9:08,-0.196613389,-0.22869192,-1.061446646,0.004659083,0.002919241,0.002306446,0.007802994
2/8/18 9:11,-0.116722461,-0.062707018,-1.209867929,0.003442611,0.000433787,0.000310727,0.004519388
2/8/18 9:12,-0.135314581,-0.029163547,-1.244880535,0.001554766,-0.002396674,-0.001032536,0.002470418
2/8/18 9:14,-0.133621502,0.063211485,-1.084526508,0.00037169,-0.00173488,0.003685084,0.002465853
2/8/18 9:15,-0.141576088,0.049994603,-1.082430817,-0.001028273,-0.001494833,0.003480781,0.002047215
2/8/18 9:18,-0.120803763,0.198373943,-0.558501868,-0.002674322,-0.00061101,0.004332463,0.003942399
2/8/18 9:22,0.006752698,0.537779436,0.112594794,0.001056454,0.001367415,0.009566484,0.007857185
2/8/18 9:23,0.035576382,0.685321957,0.4285939,0.002068844,0.003734387,0.011668037,0.006736059
2/8/18 9:24,0.009754604,0.800324319,0.611745254,0.001901176,0.005429383,0.013710345,0.006090875
2/8/18 9:25,0.016060859,0.921650048,0.915838038,0.000624036,0.004983062,0.010633196,0.003550424
2/8/18 9:27,-0.03242328,0.882734964,1.477975005,0.000310633,0.006904318,0.017097725,0.003836758
2/8/18 10:03,0.01380153,-0.279571668,-0.975983713,-0.001842259,-0.004471148,-0.002662559,-0.018247652
2/8/18 10:06,0.029204425,-0.114851326,-1.038000598,-0.003305901,-0.002976227,-0.003901147,-0.016242689
2/8/18 10:12,0.128347812,-0.122228994,-0.906972501,0.000236012,0.002963939,-0.004278984,-0.009360776
2/8/18 10:13,-0.052546171,-0.053712028,-1.02459488,0.001715613,0.001816711,-0.007760084,-0.011755011
2/8/18 10:14,0.026235517,-0.082168982,-1.100863581,0.003872067,0.001874952,-0.009039643,-0.013156524
2/8/18 10:15,-0.225457428,-0.03415517,-1.224800694,0.003571814,3.0632E-06,-0.008907664,-0.019313478
2/8/18 10:17,0.055906331,0.147000469,-1.320381433,0.002727284,-0.00021757,-0.008831619,-0.021922459
2/8/18 10:18,0.036202443,0.277154366,-1.224894194,0.000100925,-0.002318227,-0.011991901,-0.026629029
2/8/18 10:20,0.135472875,0.453107127,-0.880612342,-0.003556049,-0.007603275,-0.013512524,-0.027525746
2/8/18 10:23,0.189765387,0.820740303,0.198715563,-0.002418908,-0.009559428,-0.009535086,-0.028002581
2/8/18 10:34,0.100793506,-1.075008421,0.894322751,-0.000571747,-0.000166677,-0.006602659,-0.009338363
2/8/18 10:35,0.105979635,-1.048118038,0.518669411,-0.001091028,-0.000284347,-0.007658956,-0.00764956
2/8/18 10:38,0.013165483,-0.815577005,-0.538203411,0.002587811,-0.001748815,-0.004643078,-0.006491072
2/8/18 10:40,-0.02211365,-0.596438861,-1.081126643,0.000807562,-0.002766132,-0.007199988,-0.004690667
2/8/18 10:42,0.019525834,-0.339383443,-1.429321999,-0.002308311,-0.003474844,-0.0041031,-0.00580172
2/8/18 10:44,0.072626711,-0.092430654,-1.615541239,-0.003812197,-0.006437055,-0.004072024,-0.004733525
2/8/18 10:47,0.087451512,0.201447898,-1.564775519,-0.001169232,-0.003458072,0.002273333,0.004161968
2/8/18 10:49,0.085650829,0.382771521,-1.385875143,-0.002634903,-0.004103,0.00244236,0.001672806
2/8/18 10:50,0.030000276,0.491167684,-1.225195836,-0.003819535,-0.004446154,0.002621773,0.002500768
2/8/18 10:55,0.058893223,0.573381513,-0.429915396,-0.000629022,0.00304918,-0.002862305,0.004992681
2/8/18 10:57,0.03932473,0.534237579,-0.267006261,0.001664888,0.005751294,-0.00666316,0.006196334
2/8/18 11:00,0.111029596,0.170341981,-0.619474144,0.003680517,0.007099493,-0.007055986,0.00560355
2/8/18 11:02,-0.094350158,0.085462802,-0.580656748,0.004079614,0.004185252,-0.009811904,0.001031648
2/8/18 11:03,-0.096530787,0.003045193,-0.731810818,0.006092136,0.002112601,-0.012572346,0.002970019
2/8/18 11:05,-0.081243641,-0.155017545,-1.157700756,0.003406439,-0.005893514,-0.013727726,0.000953395
2/8/18 11:06,-0.07992342,-0.085458416,-1.061966414,0.003146506,-0.007270189,-0.013677761,-0.001687875
2/8/18 11:07,-0.060059034,-0.101011883,-1.020740975,0.000105209,-0.012343463,-0.016582758,-0.005554528
2/8/18 11:18,0.069874956,-1.10730296,1.61437629,-0.001310346,-0.001709382,0.008448881,0.00547025
2/8/18 11:19,0.072264746,-1.056124209,0.965726883,0.001020553,-0.002621588,0.009124317,0.003953105
2/8/18 11:20,0.055121822,-0.933007325,0.335626998,-0.003063364,-0.002984897,0.009651606,0.002608379
2/8/18 11:23,0.05213366,-0.586273662,-0.719056588,-0.00039956,0.00839717,0.011234986,0.005782728
2/8/18 11:25,-0.004835268,-0.397921038,-1.098619544,7.87084E-05,0.010846148,0.015477353,0.004429837
2/8/18 11:30,0.126665411,0.02198012,-1.662542531,0.010766593,0.012674335,0.017169807,-0.000525605
2/8/18 11:31,0.130492408,0.10562301,-1.713842078,0.009427468,0.011458193,0.014170939,0.001612509
2/8/18 11:32,0.138531732,0.139372922,-1.703591413,0.002642784,0.003711143,0.005822871,-0.006241468
2/8/18 11:34,0.154666878,0.259780469,-1.541171127,0.002873823,0.004480793,0.00672431,-0.009460838
2/8/18 11:35,0.150904464,0.289936375,-1.487172833,0.001887421,0.004581513,0.004983166,-0.011146998
2/8/18 12:07,-0.153697561,-0.079429446,-0.9528058,-0.00385211,-0.003970353,-0.009627349,-0.01763676
2/8/18 12:10,-0.15213039,-0.773598691,1.673450916,0.001060369,-0.000828902,-0.006925242,-0.017894901
