Timestamp,Date,Total Amount Active Swaps (USD),Avg Rate (%/day),Used,Unused,Total Amount Active Swaps (BTC),Avg Rate (%/day),Used,Unused
1530108300,6/27/2018 14:05,591895326,0.04289,589017172,2878154,52349,0.02586,51575,774
1530104700,6/27/2018 13:05,591376837,0.04286,588512181,2864655,52361,0.02584,51590,771
1530101101,6/27/2018 12:05,590756781,0.04283,587871999,2884782,52341,0.02584,51571,770
1530097501,6/27/2018 11:05,589266002,0.04282,586382826,2883176,52314,0.02584,51547,768
1530093901,6/27/2018 10:05,589465556,0.04284,586586910,2878646,52263,0.02587,51489,774
1530090301,6/27/2018 9:05,589159442,0.04286,586272298,2887145,52225,0.02593,51444,781
1530086702,6/27/2018 8:05,588448296,0.04289,585486626,2961669,52268,0.026,51526,742
1530083100,6/27/2018 7:05,588862267,0.04291,585888143,2974124,52372,0.02602,51629,743
1530079501,6/27/2018 6:05,588364697,0.04292,585402496,2962200,52497,0.02601,51723,774
1530075901,6/27/2018 5:05,589104869,0.04292,585752180,3352689,52667,0.02604,51898,769
1530072300,6/27/2018 4:05,588391810,0.04293,585267591,3124219,52609,0.02605,51840,769
1530068701,6/27/2018 3:05,588239331,0.04294,585088294,3151037,52601,0.02607,51853,748
1530065101,6/27/2018 2:05,588217838,0.04294,585143892,3073946,52387,0.02611,51633,754
1530061501,6/27/2018 1:05,586089667,0.043,582989126,3100542,52229,0.02614,51460,769
1530057901,6/27/2018 0:05,584838765,0.04307,581728235,3110531,52508,0.0262,51739,769
1530054300,6/26/2018 23:05,583688142,0.04319,580610174,3077968,52505,0.02625,51669,837
1530050701,6/26/2018 22:05,580705878,0.04327,577629659,3076219,52445,0.02629,51600,845
1530047101,6/26/2018 21:05,578896173,0.04334,575850745,3045428,52599,0.02637,51764,834
1530043500,6/26/2018 20:05,579549653,0.04342,576565216,2984437,52504,0.0264,51667,837
1530039901,6/26/2018 19:05,579674418,0.0435,576647689,3026729,52499,0.02643,51654,844
1530036300,6/26/2018 18:05,581462807,0.04353,578435324,3027483,52284,0.02652,51436,848
1530032701,6/26/2018 17:05,581644700,0.04357,578695326,2949374,52578,0.02653,51715,863
1530029100,6/26/2018 16:05,581107991,0.04364,578033806,3074185,52578,0.02659,51724,854
1530025500,6/26/2018 15:05,580502580,0.0437,577419758,3082823,52593,0.02666,51784,809
1530021901,6/26/2018 14:05,579349068,0.04379,576279560,3069508,52691,0.02674,51878,813
1530018301,6/26/2018 13:05,581147387,0.04385,578056134,3091252,52723,0.02681,51908,815
1530014701,6/26/2018 12:05,581311880,0.04389,578195333,3116547,52674,0.02686,51864,811
1530011100,6/26/2018 11:05,581381444,0.04393,578267214,3114230,52624,0.02693,51818,807
1530007500,6/26/2018 10:05,580799137,0.04401,577725668,3073469,52605,0.02698,51802,803
1530003900,6/26/2018 9:05,581591018,0.04402,578505855,3085163,52635,0.02705,51830,805
1530000300,6/26/2018 8:05,582299967,0.04409,579122932,3177035,52639,0.02712,51820,820
1529996701,6/26/2018 7:05,582737925,0.04413,579558111,3179814,52612,0.0272,51785,827
1529993100,6/26/2018 6:05,582789693,0.04419,579622427,3167266,52604,0.02726,51823,781
1529989501,6/26/2018 5:05,583176456,0.04429,579830605,3345851,52705,0.02732,51951,754
1529985900,6/26/2018 4:05,583386766,0.04432,580072488,3314279,52771,0.02738,52011,760
1529982301,6/26/2018 3:05,583789853,0.04442,580610718,3179136,52806,0.02757,52044,762
1529978701,6/26/2018 2:05,583565114,0.04449,580438875,3126239,52816,0.02773,52054,762
1529975101,6/26/2018 1:05,582683751,0.04454,579564342,3119409,52529,0.028,51769,760
1529971501,6/26/2018 0:05,580994497,0.0446,577859342,3135154,52526,0.02814,51767,759
1529967900,6/25/2018 23:05,581024889,0.04469,577718880,3306010,52576,0.02817,51826,750
1529964300,6/25/2018 22:05,580576622,0.04473,577223645,3352977,52563,0.0282,51795,768
1529960700,6/25/2018 21:05,580695387,0.0448,577140866,3554521,52633,0.02827,51881,752
1529957100,6/25/2018 20:05,581809968,0.04484,578154184,3655784,52598,0.0284,51836,761
1529953501,6/25/2018 19:05,581147840,0.04488,577353864,3793977,52438,0.02854,51632,806
